1, Alimentos y Bebidas No Alcohólicas,,,,,,,,,,
117502,Snacks,y,picaderas,de,todo,tipo,(excepto,papitas,fritas),,
118,"Azúcar,",chocolate,y,dulces,de,azúcar,,,,,
1181,Azúcar,,,,,,,,,,
118101,Azúcar,morena,,,,,,,,,
118102,Azúcar,blanca,refinada,,,,,,,,
1182,"Dulces,",chocolates,y,golosinas,,,,,,,
118202,Chocolates,dulces,,,,,,,,,
118204,Miel,,,,,,,,,,
118205,Mentas,y,Chiclets,,,,,,,,
1183,Helados,,,,,,,,,,
118301,Helados,,,,,,,,,,
118302,Hielo,,,,,,,,,,
119,Otros,productos,alimenticios,,,,,,,,
1191,Sal,,,,,,,,,,
119101,Sal,,,,,,,,,,
1192,"Condimentos,",especies,y,aderezos,,,,,,,
119201,Pasta,de,tomate,,,,,,,,
119202,Verduras,,,,,,,,,,
119203,Sazón,en,polvo,,,,,,,,
119204,Sazón,líquido,,,,,,,,,
119205,Mayonesa,,,,,,,,,,
119206,Vinagre,,,,,,,,,,
119207,Canela,,,,,,,,,,
119208,Orégano,,,,,,,,,,
119209,Catchup,,,,,,,,,,
1193,Otros,productos,alimenticios,,,,,,,,
119301,Caldo,de,pollo,,,,,,,,
119302,Compota,,,,,,,,,,
119303,Sopa,instantánea,(sopa,china),,,,,,,
12,Bebidas,No,Alcohólicas,,,,,,,,
121,Café,y,cacao,,,,,,,,
1211,Café,,,,,,,,,,
121101,Café,,,,,,,,,,
1212,Chocolates,para,bebidas,,,,,,,,
121201,Chocolate,en,barra,,,,,,,,
121202,Chocolate,en,polvo,,,,,,,,
122,Aguas,"minerales,",refrescos,y,jugos,de,frutas,,,,
1221,Refrescos,,,,,,,,,,
122101,Refrescos,,,,,,,,,,
122103,Bebidas,hidratantes,,,,,,,,,
1222,Jugos,y,aguas,minerales,,,,,,,
122201,Agua,purificada,,,,,,,,,
122202,Jugos,envasados,,,,,,,,,
122203,Jugos,en,polvo,,,,,,,,
122204,Jugo,de,naranja,pasteurizado,,,,,,,
2,Bebidas,Alcohólicas,y,Tabaco,,,,,,,
21,Bebidas,Alcohólicas,,,,,,,,,
211,Bebidas,destiladas,,,,,,,,,
2111,Bebidas,destiladas,,,,,,,,,
211101,Whisky,,,,,,,,,,
211102,Ron,añejo,,,,,,,,,
211103,Ron,blanco,,,,,,,,,
211104,Ron,dorado,,,,,,,,,
212,Vino,,,,,,,,,,
2121,Vinos,,,,,,,,,,
212101,Vino,,,,,,,,,,
213,Cerveza,,,,,,,,,,
2131,Cerveza,,,,,,,,,,
213101,Cerveza,envasada,,,,,,,,,
213102,Malta,,,,,,,,,,
22,Tabaco,,,,,,,,,,
221,Tabaco,,,,,,,,,,
2211,Cigarrillos,y,tabaco,,,,,,,,
221101,Cigarrillos,,,,,,,,,,
3,Prendas,de,Vestir,y,Calzado,,,,,,
31,Prendas,de,Vestir,,,,,,,,
312,Prendas,de,vestir,,,,,,,,
3121,Prendas,de,vestir,para,hombre,y,niño,,,,
312101,Pantalón,sport,de,hombre,,,,,,,
312102,Poloshirt,para,hombre,,,,,,,,
312103,Camisa,de,vestir,para,hombre,,,,,,
312105,Pantalón,de,vestir,de,hombre,,,,,,
312107,Pantaloncillos,,,,,,,,,,
312110,Camiseta,interior,para,hombre,,,,,,,
3122,Prendas,de,vestir,para,mujer,,,,,,
312201,Blusa,de,vestir,para,mujer,,,,,,
312202,Blusa,sport,de,mujer,,,,,,,
312203,Pantalón,sport,de,mujer,,,,,,,
312204,Panties,,,,,,,,,,
312205,Trajes,para,mujer,,,,,,,,
312206,Brassiers,,,,,,,,,,
312207,Pantalón,de,vestir,de,mujer,,,,,,
312209,Falda,para,mujer,,,,,,,,
3123,Prendas,de,vestir,de,niños,y,niñas,,,,
312301,Conjunto,para,bebé,,,,,,,,
312302,Pantalón,de,jeans,para,niños,,,,,,
312303,T-shirt,para,niño,,,,,,,,
312304,Conjunto,para,niña,,,,,,,,
312305,Uniforme,escolar,,,,,,,,,
312306,T-shirt,para,niña,,,,,,,,
313,Otros,artículos,y,accesorios,de,vestir,,,,,
3131,Accesorios,de,vestir,,,,,,,,
313101,Correa,de,cuero,,,,,,,,
313102,Gorra,deportiva,para,hombre,,,,,,,
314,"Limpieza,",reparación,y,alquiler,de,prendas,de,vestir,,,
3141,Confección,y,reparación,de,ropa,,,,,,
314102,Limpieza,de,ropa,en,lavandería,,,,,,
32,Calzado,,,,,,,,,,
321,Zapatos,y,otros,calzados,,,,,,,
3211,Zapatos,para,hombre,,,,,,,,
321101,Tenis,para,hombres,,,,,,,,
321102,Zapatos,para,hombre,,,,,,,,
321104,Chancleta,o,calipso,para,hombre,,,,,,
3212,Zapatos,para,mujer,,,,,,,,
321201,Zapatillas,para,mujer,,,,,,,,
321202,Zapatos,para,mujer,,,,,,,,
321203,Tenis,para,mujer,,,,,,,,
321205,Chancleta,o,calipso,para,mujer,,,,,,
3214,Zapatos,para,niños,y,niñas,,,,,,
321401,Tenis,para,niños,,,,,,,,
321402,Zapatos,para,niños,,,,,,,,
4,Vivienda,,,,,,,,,,
41,Alquileres,Efectivos,de,Alojamiento,,,,,,,
411,Alquileres,efectivos,,,,,,,,,
4111,Alquiler,de,la,vivienda,,,,,,,
411101,Alquiler,de,vivienda,,,,,,,,
43,Conservación,y,Reparación,de,la,Vivienda,,,,,
431,Materiales,para,la,conservación,y,reparación,de,la,vivienda,,
4311,Materiales,para,la,conservación,de,la,vivienda,,,,
431101,Pinturas,,,,,,,,,,
432,Servicios,para,la,conservación,y,la,reparación,de,la,vivienda,
4321,Servicios,para,la,conservación,de,la,vivienda,,,,
432101,Reparación,de,puertas,,,,,,,,
432103,Servicios,de,mantenimiento,de,la,vivienda,,,,,
44,Suministro,de,Agua,y,Servicios,Relacionados,con,la,Vivienda,,
441,Suministro,de,agua,,,,,,,,
4411,Suministro,de,agua,,,,,,,,
441101,Servicio,de,agua,,,,,,,,
441102,Agua,servida,por,camiones,,,,,,,
442,Recogida,de,basura,,,,,,,,
4421,Recogida,de,basura,,,,,,,,
442101,Servicio,de,recogida,de,basura,,,,,,
443,Otros,servicios,relacionados,con,la,vivienda,,,,,
4431,Otros,servicios,relacionados,con,la,vivienda,,,,,
443101,Gastos,comunes,en,copropiedad,,,,,,,
45,"Electricidad,",Gas,y,Otros,Combustibles,,,,,,
451,Electricidad,,,,,,,,,,
4511,Electricidad,,,,,,,,,,
451101,Servicio,de,energía,eléctrica,,,,,,,
452,Gas,,,,,,,,,,
4521,Gas,,,,,,,,,,
452101,Gas,licuado,de,uso,doméstico,,,,,,
453,Combustibles,líquidos,,,,,,,,,
4531,Otros,combustibles,,,,,,,,,
453101,Gas,kerosene,,,,,,,,,
453102,Trementina,,,,,,,,,,
454,Combustibles,sólidos,,,,,,,,,
4541,Combustibles,sólidos,,,,,,,,,
454101,Carbón,vegetal,,,,,,,,,
5,Muebles,y,Artículos,para,el,Hogar,,,,,
51,Muebles,y,Accesorios,,,,,,,,
511,Muebles,y,accesorios,,,,,,,,
5111,Muebles,y,accesorios,,,,,,,,
511101,Juego,de,sala,,,,,,,,
511102,Camas,,,,,,,,,,
511103,Juego,de,comedor,,,,,,,,
511104,Colchón,,,,,,,,,,
511105,Cuna,,,,,,,,,,
513,Reparación,de,muebles,,,,,,,,
5131,Reparación,de,muebles,,,,,,,,
513101,Reparación,de,muebles,,,,,,,,
52,Productos,Textiles,para,el,Hogar,,,,,,
521,Productos,textiles,para,el,hogar,,,,,,
5211,Productos,textiles,para,el,hogar,,,,,,
521101,Sábanas,,,,,,,,,,
521103,Mosquiteros,,,,,,,,,,
521104,Toallas,,,,,,,,,,
521105,Colchas,ó,cubrecamas,,,,,,,,
521106,Cortinas,de,tela,,,,,,,,
521107,Almohadas,,,,,,,,,,
53,Artefactos,para,el,Hogar,,,,,,,
531,Artefactos,para,el,hogar,"grandes,",eléctricos,o,no,,,
5311,Artefactos,grandes,para,el,hogar,,,,,,
531101,Nevera,,,,,,,,,,
531102,Lavadora,,,,,,,,,,
531103,Estufa,de,gas,,,,,,,,
531105,Equipos,de,climatización,,,,,,,,
532,Artefactos,eléctricos,para,el,hogar,pequeños,,,,,
5321,Artefactos,pequeños,para,el,hogar,,,,,,
532101,Abanicos,portátiles,,,,,,,,,
532102,Licuadora,,,,,,,,,,
54,Artículos,de,Vidrio,y,Utensilios,para,el,Hogar,,,
541,Artículos,de,vidrio,y,utensilios,no,eléctricoss,,,,
5411,Artículos,y,utensilios,para,el,hogar,,,,,
541103,Cuchillo,,,,,,,,,,
541104,Utensilios,para,cocina,,,,,,,,
541105,Vajilla,para,el,hogar,,,,,,,
55,Herramientas,y,Equipos,para,el,Hogar,,,,,
552,Herramientas,pequeñas,y,accesorios,diversos,,,,,,
5521,Herramientas,y,artefactos,pequeños,para,el,hogar,,,,
552101,Bombillas,,,,,,,,,,
552103,Cerradura,de,puerta,para,el,hogar,,,,,
