,,,2020,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,,,,
,,Grupo,Subgrupo,Clase,Subclase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Artículo,Ponderación,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre ,Diciembre ,Enero,Febrero ,Marzo,Abril ,Mayo,Junio,Julio,Agosto
111201,0111201 Galletas saladas,0.1326,101.28,103.13,106.65,110.45,114.32,116.05,117.51,119.34,121.1,122.71,123.42,123.58,124.23,124.81,125.39,125.96,126.49,126.58,127.58,128.43,129.75,130.62,133.78,134.53,135.17,135.67,136.3,137.68,138.5,139.6,140.84,141.8,142.48,142.7,142.92,142.96,143.11,143.07,143.39,143.4,143.41,143.89,144.34,144.49,144.8,145.39,145.77,146.34,146.39,146.68,147.09,147.21,148.06,147.68,148.43,148.94,148.85,149.23,149.31,149.58,150.36,150.17,150.49,151.07,152.05,152.55,152.41,152.64,153.43,154.01,153.62
111202,0111202 Bizcochos,0.0779,101.04,101.08,101.22,101.25,101.35,101.37,101.36,101.46,101.62,101.83,101.89,101.93,102.03,102.13,102.2,102.32,102.55,102.78,104.08,106.77,107.9,108.66,109.1,109.25,109.59,109.84,110.03,110.25,110.38,110.68,110.86,111.12,111.36,111.58,111.9,111.97,112.11,112.17,112.32,112.26,112.47,112.55,112.85,113.22,113.91,114.04,114.19,114.45,114.78,114.93,115.08,115.15,115.54,116.01,116.64,117.15,117.28,117.35,117.54,117.65,118.01,118.22,118.5,120.71,123.79,125.47,126.83,128.11,128.79,129.34,129.78
111203,0111203 Galletas dulces,0.071,102.19,102.53,103.22,103.95,104.86,105.31,105.94,107.4,108.09,108.76,109.42,109.79,110.59,111.23,111.64,111.75,112.9,113.9,116.49,119.2,122.9,126.57,129.25,131.05,133.26,135.09,137.4,138.8,140.48,140.74,141.46,142.33,143.16,143.55,143.05,142.81,143.63,144.05,144.36,144.16,144.94,144.3,144.87,145.1,145.02,145.27,145.08,145.41,146.33,146.48,147,147.76,148.55,148.53,149.73,150.21,150.77,151.21,150.89,150.78,152.47,152.82,152.5,152.58,152.94,154.06,154.36,154.79,155.43,155.34,155.18
111204,0111204 Galletas de harina,0.0206,100.36,100.39,100.57,100.59,101.03,101.5,101.73,101.84,103.1,109.59,109.74,109.88,110.6,110.8,111.36,112.58,114.34,114.35,114.99,115.59,116.54,117.28,117.78,118.76,121.21,122.74,126.12,128.12,128.63,128.9,129.48,129.96,130.28,130.64,131,131.14,131.3,131.35,131.43,131.47,132.04,132.33,132.53,132.94,133.38,133.72,134.1,134.66,135.17,135.67,135.69,135.9,136.17,136.76,136.88,137.33,137.92,138.27,138.63,138.78,138.96,139.05,139.12,139.57,140.05,140.66,141.43,141.67,141.78,143.44,144.67
111205,0111205 Galletas de soda,0.0505,103.17,103.64,104.01,104.45,104.96,105.11,105.66,106.85,107.3,107.57,107.7,107.96,108.38,108.61,108.85,109.42,110.45,110.72,111.37,112.21,113.32,114.81,117.99,118.86,119.49,120.07,121.12,122.09,122.01,122.89,124.1,124.51,124.07,124.91,125.62,124.99,125.23,125.24,126.05,126.12,126.11,125.93,126.42,126.56,126.54,126.82,127.28,127.8,128.31,127.71,128.82,128.87,129.33,129.2,129.71,129.51,129.74,129.87,130.73,130.96,130.93,130.63,131.4,131.79,132.08,132.16,133.14,133.12,133.32,133.63,134.71
111206,0111206 Galletas integrales,0.0194,100.33,100.81,100.93,100.95,100.85,100.96,101.24,101.46,102.72,103.88,106.37,107.27,108.19,108.32,108.55,108.73,109.35,109.88,115.76,118.18,119.18,121.8,121.97,122.96,123.16,123.33,123.56,127.16,131.49,132.73,133.14,133.31,133.8,136,136.47,136.65,137.28,137.25,140.6,143.4,143.42,144.37,144.9,145.25,144.6,144.41,144.36,144.43,144.61,145.52,146.58,147.87,147.32,148.61,150.41,151.14,150.2,150.61,151.45,151.78,152.14,152.73,153.53,153.68,153.4,155.12,155.88,156.13,155.64,155.58,153.54
1113,01113 Cereales y harinas,0.297,103.77,104.29,104.91,105.77,107.3,108.44,109.13,110.36,111.74,112.62,113.15,113.55,113.89,114.7,115.16,116.12,117.48,118.84,121.93,124.71,127.3,129.4,130.76,132.11,132.75,133.87,134.98,136.64,138.13,139.33,140.14,140.98,141.34,141.87,141.88,142.2,142.23,142.35,142.93,143.33,143.8,143.71,144.32,144.62,144.4,144.88,144.92,145.39,145.63,146.38,146.79,147.06,146.98,147.28,147.31,147.54,147.28,147.89,148.53,149.03,149.38,149.45,150.2,150.89,151.38,152.65,154.01,154.82,154.61,155.47,155.29
111301,0111301 Corn Flakes,0.1069,104.03,104.26,104.68,105.35,107.58,109.19,109.8,110.6,110.38,109.93,109.58,108.96,109.19,109.98,109.97,111.33,113.09,113.82,115.53,116.76,119.19,121.32,122.77,124.37,124.69,125.91,126.88,129.38,132.46,133.98,134.96,136.56,135.73,136.13,135.79,136.29,136.3,136.64,137.72,138.31,138.96,138.44,139.1,139.48,139.21,139.32,139.19,140.37,140.62,141.53,141.8,142.34,141.97,142.58,142.31,143.07,142.13,142.8,143.41,143.99,144.53,144.18,145.42,145.77,146.94,149.46,151.37,152.38,151.6,152.84,152.02
111302,0111302 Avena,0.072,103.46,104.14,104.3,104.59,104.73,104.66,104.59,104.89,104.94,105.49,106.24,106.92,106.96,107.3,107.3,107.65,108.39,108.52,111.06,116.69,119.95,123.04,124.55,126.09,127.1,128.73,129.77,130.71,130.93,131.59,132.01,132.7,134.28,135.32,135.51,135.56,135.35,135.29,135.62,135.98,136.31,136.07,136.95,137.18,136.75,137.82,138.04,137.84,137.64,138.04,138.78,138.91,138.95,138.06,138.76,138.78,138.51,138.78,139.57,139.29,139.31,139.5,139.39,140.2,140.03,139.68,140.6,141,141.15,141.95,142.31
111303,0111303 Harina de maíz,0.0435,105.87,106.21,107.63,110.02,112.39,113.63,114.93,118.54,126.14,129.52,131.7,132.77,133.3,134.64,135.08,135.76,136.88,140.11,146.08,149.2,151.51,152.96,153.9,154.8,155.45,155.93,156.8,157.48,158.34,158.83,159.06,159.17,159.87,160.12,160.45,160.69,160.88,160.95,161.21,161.63,161.93,161.96,162.34,162.69,163,163.63,163.48,163.75,164.8,166.63,167.13,166.84,167.07,168.3,167.57,166.99,168.2,169.47,171.32,172.73,173.92,174.41,175.66,177.66,177.63,178.61,179.57,180.78,179.46,180.4,180.25
