Fecha,IPC general,IPC variación mensual,IPC variación interanual,IPC variación acumulada con diciembre anterior,Alimentos y bebidas no alcohólicas,"Alimentos y bebidas no alcohólicas, variación mensual","Alimentos y bebidas no alcohólicas, variación interanual","Alimentos y bebidas no alcohólicas, variación acumulada",Salud,"Salud, variación mensual","Salud, variación interanual","Salud, variación acumulada"
1/7/2025,132.95,0.38,3.4,1.71,143.68,0.47,3.14,1.3,131.93,0.37,5.04,3.43
1/8/2025,133.9,0.71,3.71,2.43,145.46,1.24,3.99,2.55,132.35,0.32,4.98,3.76
1/9/2025,134.35,0.34,3.76,2.77,146.5,0.72,4.4,3.29,132.67,0.24,4.88,4.01
1/10/2025,135.09,0.55,4.23,3.34,148.16,1.13,5.93,4.46,133.11,0.33,5.03,4.35
1/11/2025,136.06,0.71,4.81,4.08,151.06,1.96,8.13,6.5,133.65,0.4,5.12,4.77
1/12/2025,137.2,0.84,4.95,4.95,153.46,1.59,8.19,8.19,134.06,0.31,5.1,5.1
1/1/2026,137.74,0.4,4.98,0.4,154.5,0.68,8.03,0.68,134.75,0.52,5.12,0.52
1/2/2026,137.77,0.03,4.67,0.42,153.64,-0.56,7.16,0.12,135.82,0.79,5.35,1.31
1/3/2026,138.15,0.27,4.63,0.7,153.41,-0.15,6.9,-0.03,136.54,0.54,5.53,1.85
1/4/2026,138.82,0.49,5.11,1.19,153.31,-0.07,7.01,-0.1,137.12,0.42,5.24,2.28
1/5/2026,139.25,0.31,5.35,1.5,152.42,-0.58,6.56,-0.68,137.62,0.36,5.05,2.65
1/6/2026,139.96,0.51,5.67,2.02,153.04,0.41,7.01,-0.27,137.93,0.23,4.94,2.89
1/7/2026,140.22,0.19,5.47,2.21,153.38,0.23,6.75,-0.05,138.46,0.38,4.95,3.28
1/8/2026,140.76,0.38,5.13,2.6,154.03,0.42,5.89,0.37,138.94,0.34,4.98,3.64
